QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,,,4.0,3.0,,Fall,,,17205.0,,684.0,2000,75.0,"Merit-based, Diversity-based",two-year,17205.0,Master of Public Administration,https://www.evergreen.edu/offices-services/master-of-public-administration-mpa
,,,4.0,3.0,,Fall,,,1281.0,,390.1,1000 to 3000,,"Merit-based, Need-based",2 years,11703.0,Master of Environmental Studies,https://www.evergreen.edu/academics/graduate-studies
,,1.0,4.0,3.0,,Fall,,,14244.0,,476.0,"up to $8,000 per year",,Conditional,2 years,14244.0,Master in Teaching,https://www.evergreen.edu/academics/graduate-studies
,,,,,,,,,,,,,,,,,Sustainability Master of Business Administration,https://www.evergreen.edu/admissions-and-aid/graduate-student
,,,4.0,3.0,,Fall,"October 1, 2025","January 15, 2026",33444.0,,512.5,"500 - 5,000",,"Merit-based, Need-based, Program-specific",2 years,30750.0,Concentration in Tribal Governance,https://www.evergreen.edu/academics/graduate-studies
,,,4.0,3.0,,Fall,"September 1, 2025","May 15, 2026",13443.0,,539.0,1000 to 5000,,"Fellowships, Assistantships, Merit-based Scholarships, Diversity Fellowships",2 years,13443.0,Concentration in Public and Nonprofit Administration,https://www.evergreen.edu/academics/graduate-studies
,Graduate Studies,,4.0,3.0,,Fall,,,13746.0,,458.0,"up to $3,000",,Fellowships,2 years,13746.0,Concentration in Public Policy,https://www.evergreen.edu/academics/graduate-studies
